date        time     P_O_Myra_131moh   T_Myra_131moh   T_Myra_131moh          Q_Myra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
05.10.2006  00:00:00           0.000           8.930           8.930           0.390 
06.10.2006  00:00:00           4.150           9.270           9.270           0.830 
07.10.2006  00:00:00          15.300           9.910           9.910           0.420 
08.10.2006  00:00:00          23.660          10.140          10.140           3.500 
09.10.2006  00:00:00           6.470           7.840           7.840           1.050 
10.10.2006  00:00:00           0.040           8.880           8.880           0.540 
11.10.2006  00:00:00           0.000           9.110           9.110           0.370 
12.10.2006  00:00:00           0.000           9.010           9.010           0.280 
13.10.2006  00:00:00           0.000          10.410          10.410           0.230 
14.10.2006  00:00:00           0.000          10.370          10.370           0.200 
15.10.2006  00:00:00           0.000           9.150           9.150           0.180 
16.10.2006  00:00:00           0.000           9.670           9.670           0.160 
17.10.2006  00:00:00           5.510           8.920           8.920           0.590 
18.10.2006  00:00:00           3.810           5.550           5.550           0.520 
19.10.2006  00:00:00           0.000           3.370           3.370           0.310 
20.10.2006  00:00:00           0.000           6.930           6.930           0.240 
21.10.2006  00:00:00           0.000           7.180           7.180           0.210 
22.10.2006  00:00:00           3.880           7.540           7.540           0.350 
23.10.2006  00:00:00           7.260           4.410           4.410           0.520 
24.10.2006  00:00:00           1.300           4.760           4.760           0.410 
25.10.2006  00:00:00           0.870           4.350           4.350           0.530 
26.10.2006  00:00:00           4.800           0.700           0.700           0.970 
27.10.2006  00:00:00          12.960           1.820           1.820           1.460 
28.10.2006  00:00:00          14.360           1.320           1.320           0.820 
29.10.2006  00:00:00           0.080           0.680           0.680           0.530 
30.10.2006  00:00:00           9.050           1.910           1.910           1.040 
31.10.2006  00:00:00           7.340           1.560           1.560           0.480 
01.11.2006  00:00:00           0.000          -4.110          -4.110           0.310 
02.11.2006  00:00:00          10.130          -1.560          -1.560           0.270 
03.11.2006  00:00:00           7.480           0.160           0.160           2.550 
04.11.2006  00:00:00          11.170           4.630           4.630           5.630 
05.11.2006  00:00:00          14.910           4.170           4.170           5.930 
06.11.2006  00:00:00          25.730           5.060           5.060           4.980 
07.11.2006  00:00:00          25.660           5.560           5.560           5.620 
08.11.2006  00:00:00           8.650           2.590           2.590           1.900 
09.11.2006  00:00:00           8.030           0.850           0.850           1.190 
10.11.2006  00:00:00          10.170          -0.260          -0.260           0.820 
11.11.2006  00:00:00           0.970           1.690           1.690           0.620 
